Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
488b58ff-64f5-4f8a-8979-fa79940b1594,TRUE,,,,,,,,,,,,,,,,,,,,
162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1099AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
160240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
160241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
160243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
160245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,,,,,,,,,,,,,,,,,,,
21eced40-aa0d-47a7-bb9a-a5a3fc51a184,TRUE,,,,,,,,,,,,,,,,,,,,
